ts_start,ts_end,latency_ms,stage,gpu,frame,warmup
1761041746.155814,1761041746.1683292,12.515,cls_turn,True,12,1,True
1761041746.1683292,1761041746.1758373,7.508,cls_brake,True,12,1,True
1761041746.1778386,1761041746.2008588,23.02,traj_predict,True,1,30
1761041746.2123706,1761041746.2138753,1.505,video_write,False,12,True
1761041746.2138753,1761041746.2138753,0.0,frame_read,False,13,True
1761041746.2158859,1761041746.2168841,0.998,bev_warp,False,13,True
1761041746.2198853,1761041746.232395,12.51,detect_yolo,True,13,True
1761041746.233395,1761041746.233395,0.0,track_bytetrack,False,13,1,True
1761041746.2338984,1761041746.2434087,9.51,cls_turn,True,13,1,True
1761041746.2434087,1761041746.2484155,5.007,cls_brake,True,13,1,True
1761041746.2494159,1761041746.2699332,20.517,traj_predict,True,1,30
1761041746.2814448,1761041746.2824464,1.002,video_write,False,13,True
1761041746.2834463,1761041746.2839499,0.504,frame_read,False,14,True
1761041746.2849536,1761041746.2859566,1.003,bev_warp,False,14,True
1761041746.289956,1761041746.3099737,20.018,detect_yolo,True,14,True
1761041746.3109758,1761041746.3109758,0.0,track_bytetrack,False,14,1,True
1761041746.3119752,1761041746.3215494,9.574,cls_turn,True,14,1,True
1761041746.3225536,1761041746.3270657,4.512,cls_brake,True,14,1,True
1761041746.3290648,1761041746.3490877,20.023,traj_predict,True,1,30
1761041746.3646238,1761041746.3656292,1.005,video_write,False,14,True
1761041746.366629,1761041746.366629,0.0,frame_read,False,15,True
1761041746.3676293,1761041746.3696277,1.998,bev_warp,False,15,True
1761041746.3741322,1761041746.3846467,10.514,detect_yolo,True,15,True
1761041746.3846467,1761041746.3846467,0.0,track_bytetrack,False,15,0,True
1761041746.3926492,1761041746.393649,1.0,video_write,False,15,True
1761041746.3941517,1761041746.3941517,0.0,frame_read,False,16,True
1761041746.395155,1761041746.3961577,1.003,bev_warp,False,16,True
1761041746.3991587,1761041746.4086738,9.515,detect_yolo,True,16,True
1761041746.4096742,1761041746.4096742,0.0,track_bytetrack,False,16,0,True
1761041746.4171882,1761041746.418188,1.0,video_write,False,16,True
1761041746.418188,1761041746.4191885,1.0,frame_read,False,17,True
1761041746.420188,1761041746.4211879,1.0,bev_warp,False,17,True
1761041746.4246972,1761041746.435211,10.514,detect_yolo,True,17,True
1761041746.435211,1761041746.435211,0.0,track_bytetrack,False,17,0,True
1761041746.4437208,1761041746.4437208,0.0,video_write,False,17,True
1761041746.4447267,1761041746.4447267,0.0,frame_read,False,18,True
1761041746.4457312,1761041746.44773,1.999,bev_warp,False,18,True
1761041746.450731,1761041746.4637449,13.014,detect_yolo,True,18,True
1761041746.4642472,1761041746.465252,1.005,track_bytetrack,False,18,1,True
1761041746.465252,1761041746.4777703,12.518,cls_turn,True,18,1,True
1761041746.4787724,1761041746.4842834,5.511,cls_brake,True,18,1,True
1761041746.4852827,1761041746.5053089,20.026,traj_predict,True,1,30
1761041746.5168178,1761041746.5178182,1.0,video_write,False,18,True
1761041746.5188189,1761041746.5188189,0.0,frame_read,False,19,True
1761041746.5198205,1761041746.5208185,0.998,bev_warp,False,19,True
1761041746.5243268,1761041746.534836,10.509,detect_yolo,True,19,True
1761041746.5358405,1761041746.5358405,0.0,track_bytetrack,False,19,1,True
1761041746.5358405,1761041746.5463543,10.514,cls_turn,True,19,1,True
1761041746.5463543,1761041746.55386,7.506,cls_brake,True,19,1,True
1761041746.5558643,1761041746.5739987,18.134,traj_predict,True,1,30
1761041746.5885184,1761041746.589518,1.0,video_write,False,19,True
1761041746.5905182,1761041746.5905182,0.0,frame_read,False,20,True
1761041746.59152,1761041746.594021,2.501,bev_warp,False,20,True
1761041746.5980291,1761041746.610539,12.51,detect_yolo,True,20,True
1761041746.611539,1761041746.611539,0.0,track_bytetrack,False,20,1,True
1761041746.611539,1761041746.6219168,10.378,cls_turn,True,20,1,True
1761041746.6219168,1761041746.6284273,6.51,cls_brake,True,20,1,True
1761041746.6294303,1761041746.6495087,20.078,traj_predict,True,1,30
1761041746.6605215,1761041746.6615217,1.0,video_write,False,20,True
